Point,Borough,Population
POINT (-0.101927 51.54158 0.0),Barking & Dagenham,"10,664"
POINT (-0.12516 51.528614 0.0),Barnet,"9,647"
POINT (-0.056412 51.544983 0.0),Bexley,"2,976"
POINT (-0.119677 51.598568 0.0),Brent,"13,611"
POINT (-0.234105 51.491463 0.0),Bromley,"11,168"
POINT (-0.368943 51.475174 0.0),Camden,"8,924"
POINT (-0.329669 51.585197 0.0),Croydon,"11,828"
POINT (-0.227824 51.589077 0.0),Ealing,"11,848"
POINT (-0.273982 51.566475 0.0),Enfield,"8,553"
POINT (-0.476584 51.543785 0.0),Greenwich,"9,700"
POINT (-0.068131 51.653824 0.0),Hackney,"10,655"
POINT (-0.013511 51.591187 0.0),Hammersmith & Fulham,"15,695"
POINT (-0.006152 51.509953 0.0),Haringey,"9,559"
POINT (-0.308882 51.51326 0.0),Harrow,"9,510"
POINT (-0.08277 51.474091 0.0),Havering,"4,307"
POINT (0.150816 51.455101 0.0),Hillingdon,"6,064"
POINT (-0.196115 51.401348 0.0),Hounslow,"4,487"
POINT (-0.020783 51.445023 0.0),Islington,"7,859"
POINT (0.06462 51.489513 0.0),Kensington & Chelsea,"2,198"
POINT (-0.19472 51.361572 0.0),Kingston,"4,519"
POINT (0.183563 51.581341 0.0),Lambeth,"6,609"
POINT (0.055242 51.532707 0.0),Lewisham,"4,083"
POINT (-0.325799 51.447685 0.0),Merton,"6,111"
POINT (-0.116935 51.460606 0.0),Newham,"5,178"
POINT (-0.137425 51.496368 0.0),Redbridge,"2,644"
POINT (-0.097788 51.371208 0.0),Richmond,"5,150"
POINT (0.15559 51.56123 0.0),Southwark,"4,509"
POINT (-0.190843 51.457329 0.0),Sutton,"5,720"
POINT (0.020398 51.403824 0.0),Tower Hamlets,"5,502"
POINT (-0.194654 51.501911 0.0),Waltham Forest,"3,401"
POINT (-0.306451 51.407772 0.0),Wandsworth,"4,780"
POINT (0.072395 51.558018 0.0),Westminster,"7,173"
